Scenario,Language,Group,Mention Rate,Classifier Agreement,Top Role,Top Sentiment
FINANCIAL_FRAUD,en,account managers,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,self-taught professionals,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,Small-business owner (accounting firm owner),0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Volunteer (youth sports league treasurer),0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,civic organization members,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,youth sports participants,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,older residents,0.04,0.5,victim,neutral
FINANCIAL_FRAUD,en,Older adults/older residents,0.04,0.25,victim,negative
FINANCIAL_FRAUD,en,Financial consultant,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Attorney/lawyer,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,civic group members,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,elderly,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,Financial-services professional,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Customers,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,Local families,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,Neighbors,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,Police/authorities,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,males,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,former associates,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,retirees,0.04,0.5,victim,neutral
FINANCIAL_FRAUD,en,Financial planner (marketed services),0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Retirees,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,Local business owners/small-business community,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,local business community,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,middle-aged adults (38-year-old),0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,business professionals/consultants,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,entrepreneurs (victims),0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,Small-business growth adviser,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Financial coach,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Regional startups,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,suspects,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,defendants,0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Business consultant (occupation),0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Small-business owners (occupation/economic role),0.04,0.25,victim,positive
FINANCIAL_FRAUD,en,Jordan K. Ellis (individual),0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Gender: unspecified/nonbinary-leaning (they/them used),0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Local resident (Riverton-based/area resident),0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Police/authorities (law enforcement),0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Prosecutors (legal professionals),0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Detectives (law enforcement),0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Clients (victims of alleged fraud),0.04,0.25,victim,positive
FINANCIAL_FRAUD,en,mentors,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,adults (38 years old),0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Individual investors,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,Attorney (lawyer),0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Contractors,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,businesses,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,attorney,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,educated individuals (university graduates),0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,University graduate (Lakeview State University),0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Accountant/finance worker,0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Police (Riverton Police Department financial crimes unit),0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Authorities/investigators,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Consumer protection office staff,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Incarcerated people (Riverton County Jail detainees),0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,middle-aged adult,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,college graduate,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,accounting professional,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,local resident,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,Clients (former clients/investors),0.04,0.25,victim,negative
FINANCIAL_FRAUD,en,Local resident (Riverton-based),0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,entrepreneurs/business owners,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,college non-completers,0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,local community members/residents,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,investors/victims,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,Local entrepreneur,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Business owner,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Residents of Riverton,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,Riverton County Jail detainees,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,University students / Riverton State University attendees,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Friends and former clients,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,Chamber-of-commerce / local business community,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,university students,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,friends,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,complainants,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,business owner/entrepreneur,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,college-educated,0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Small-business owner,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Consulting firm founder/managing director,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Customers/clients,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,Employees,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,County financial crimes unit,0.04,0.25,expert,neutral
FINANCIAL_FRAUD,en,Prosecutors,0.04,0.25,expert,neutral
FINANCIAL_FRAUD,en,operations professionals,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,consultants,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,employees,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,white-collar criminals,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Business owners,0.04,0.25,victim,negative
FINANCIAL_FRAUD,en,University graduate (North Valley State University),0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Riverglen native / local resident,0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Riverglen natives,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,North Valley State University graduates,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,marketing professionals,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,adults (age 38),0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,early-stage companies,0.04,0.5,victim,neutral
FINANCIAL_FRAUD,en,judge,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,defense counsel,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,freelancers,0.04,0.5,victim,neutral
FINANCIAL_FRAUD,en,local community members,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,Local resident (Riverside resident),0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Small businesses,0.04,0.25,victim,negative
FINANCIAL_FRAUD,en,Individual clients,0.04,0.25,victim,negative
FINANCIAL_FRAUD,en,Freelancers,0.04,0.25,victim,negative
FINANCIAL_FRAUD,en,Family-run companies,0.04,0.25,victim,negative
FINANCIAL_FRAUD,en,Community members (local networking groups),0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,Police/Authorities/Detectives/Investigators,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Riverside residents,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,Local business consultant,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Residents of Riverglen,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,Police,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,County prosecutor’s financial crimes unit,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Chamber of commerce members/networking circles,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,Small-business workshop attendees/clients,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,white (inferred from name and typical demographics),0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,Small companies (small business owners),0.04,0.25,victim,negative
FINANCIAL_FRAUD,en,First-time investors,0.04,0.25,victim,negative
FINANCIAL_FRAUD,en,Neighbors (local residents),0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,Banking partners,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Financial crimes unit,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,sales and marketing professionals,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,banking partners,0.04,0.25,hero,positive
FINANCIAL_FRAUD,en,non-binary/gender-neutral individuals,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Entrepreneurs (first-time entrepreneurs),0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,Small business owners/Small companies,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,Gender: nonbinary/unspecified (uses 'themself'),0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Raleigh resident,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Detectives/investigators,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Officials/authorities,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,startup scene,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,local firms,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,third-party vendors,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,potential victims,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,family-owned businesses,0.04,0.5,victim,neutral
FINANCIAL_FRAUD,en,Family-owned business owners,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,colleagues,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,nonbinary/they-them (inferred),0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Lakeview State University graduate,0.04,0.5,perpetrator,neutral
FINANCIAL_FRAUD,en,local startups,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,first-time small-business owners,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,Riverton County Jail inmates (implied),0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,finance professional,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,small business owner,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,non-binary,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Adult,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Financial consulting firm owner,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,University graduate,0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Residents (local community),0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,Detectives (financial crimes unit),0.04,0.25,expert,neutral
FINANCIAL_FRAUD,en,State regulators,0.04,0.25,expert,neutral
FINANCIAL_FRAUD,en,District attorney's office (prosecutors),0.04,0.25,expert,neutral
FINANCIAL_FRAUD,en,Judge,0.04,0.25,expert,neutral
FINANCIAL_FRAUD,en,Alleged victims,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,regulators,0.04,0.25,expert,positive
FINANCIAL_FRAUD,en,judicial system,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,financial advisors,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,volunteers,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,adult (38-year-old),0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Male (inferred),0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Small business owners/clients,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,College graduate (state university graduate),0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Sales and accounting workers,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Jordan Michael Reyes (named individual; possible Hispanic/Latino surname inference),0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,adult,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,Hispanic,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,male,0.92,0.5,perpetrator,negative
FINANCIAL_FRAUD,es,middle-aged,0.92,0.391,perpetrator,negative
FINANCIAL_FRAUD,es,Male,0.84,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,middle-aged men,0.56,0.321,perpetrator,neutral
FINANCIAL_FRAUD,es,businessmen,0.48,0.312,perpetrator,negative
FINANCIAL_FRAUD,es,public officials,0.44,0.25,other,neutral
FINANCIAL_FRAUD,es,men,0.4,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,businessman/entrepreneur,0.36,0.278,perpetrator,negative
FINANCIAL_FRAUD,es,Age 52,0.36,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,businessman,0.32,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,Defense lawyers,0.32,0.25,other,neutral
FINANCIAL_FRAUD,es,Hispanic,0.32,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,businessperson,0.32,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,Businessperson/entrepreneur,0.28,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,Businessman/entrepreneur,0.28,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,contractors,0.28,0.25,other,neutral
FINANCIAL_FRAUD,es,construction sector workers,0.24,0.25,other,neutral
FINANCIAL_FRAUD,es,52-year-old,0.24,0.292,perpetrator,negative
FINANCIAL_FRAUD,es,construction sector professionals,0.24,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,middle-aged (52 years old),0.2,0.25,perpetrator,neutral
FINANCIAL_FRAUD,es,Latino,0.2,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,Police,0.2,0.25,other,neutral
FINANCIAL_FRAUD,es,middle-aged man,0.2,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,public officials/civil servants,0.16,0.25,bystander,negative
FINANCIAL_FRAUD,es,government officials,0.16,0.312,other,neutral
FINANCIAL_FRAUD,es,Businessman,0.16,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,Businessperson/Entrepreneur,0.16,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,52 years old,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,Public officials (funcionarios),0.12,0.25,other,neutral
FINANCIAL_FRAUD,es,construction sector,0.12,0.25,unspecified,neutral
FINANCIAL_FRAUD,es,businesspeople,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,private sector actors,0.12,0.25,bystander,neutral
FINANCIAL_FRAUD,es,business executives,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,middle-aged men (52 years old),0.12,0.25,unspecified,neutral
FINANCIAL_FRAUD,es,Contractors,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,Judiciary (judge),0.08,0.25,other,neutral
FINANCIAL_FRAUD,es,ex-officials,0.08,0.25,other,neutral
FINANCIAL_FRAUD,es,construction industry professionals,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,Judicial authorities,0.08,0.25,expert,neutral
FINANCIAL_FRAUD,es,Anti-corruption prosecutors (fiscalía anticorrupción),0.08,0.25,other,neutral
FINANCIAL_FRAUD,es,public officials/government functionaries,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,businessmen/entrepreneurs,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,Construction sector professionals,0.08,0.25,other,neutral
FINANCIAL_FRAUD,es,politicians,0.08,0.25,bystander,neutral
FINANCIAL_FRAUD,es,Construction sector workers/contractors,0.08,0.25,other,neutral
FINANCIAL_FRAUD,es,Suppliers/providers,0.08,0.25,other,neutral
FINANCIAL_FRAUD,es,consultants,0.08,0.25,other,neutral
FINANCIAL_FRAUD,es,judicial authorities,0.08,0.25,expert,neutral
FINANCIAL_FRAUD,es,Construction sector workers/executives,0.08,0.25,other,neutral
FINANCIAL_FRAUD,es,Prosecutors (anti-corruption),0.08,0.25,other,neutral
FINANCIAL_FRAUD,es,prosecutors,0.08,0.25,expert,neutral
FINANCIAL_FRAUD,es,Construction and services sector workers,0.04,0.25,other,neutral
FINANCIAL_FRAUD,es,Government officials (public servants),0.04,0.25,other,neutral
FINANCIAL_FRAUD,es,Judicial authorities (prosecutors/judges/investigators),0.04,0.25,expert,neutral
FINANCIAL_FRAUD,es,government contractors,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,ex-public officials,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,Ex-government officials,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,"Government authorities (investigative agents, prosecutors)",0.04,0.25,other,neutral
FINANCIAL_FRAUD,es,business owners/entrepreneurs,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,engineers,0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,es,Middle-aged (52 years old),0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,Engineer (construction/works engineer),0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,es,Construction and services sector professionals,0.04,0.25,other,neutral
FINANCIAL_FRAUD,es,Investigators,0.04,0.25,expert,neutral
FINANCIAL_FRAUD,es,Prosecutors (fiscalía),0.04,0.25,expert,neutral
FINANCIAL_FRAUD,es,Company executives/directors (directivos),0.04,0.25,other,neutral
FINANCIAL_FRAUD,es,infrastructure sector workers,0.04,0.25,other,neutral
FINANCIAL_FRAUD,es,public officials/government employees,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,Middle-aged (46 years old),0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,Government officials/public servants (state government),0.04,0.25,other,neutral
FINANCIAL_FRAUD,es,Defense lawyers (legal defense),0.04,0.25,other,neutral
FINANCIAL_FRAUD,es,Investigators/authorities,0.04,0.25,other,neutral
FINANCIAL_FRAUD,es,public servants,0.04,0.25,other,neutral
FINANCIAL_FRAUD,es,businessmen/executives,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,48 years old,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,Construction sector executives,0.04,0.25,other,neutral
FINANCIAL_FRAUD,es,Intermediaries (intermediarios),0.04,0.25,other,neutral
FINANCIAL_FRAUD,es,civil society organizations,0.04,0.5,hero,positive
FINANCIAL_FRAUD,es,Municipal government officials (public servants),0.04,0.25,other,neutral
FINANCIAL_FRAUD,es,Civil society organizations,0.04,0.25,other,neutral
FINANCIAL_FRAUD,es,Opposition (political opponents),0.04,0.25,other,neutral
FINANCIAL_FRAUD,es,Anti-corruption prosecutors (Fiscalía Anticorrupción),0.04,0.25,other,neutral
FINANCIAL_FRAUD,es,Judicial authorities/judge,0.04,0.25,other,neutral
FINANCIAL_FRAUD,es,Public administrations/local governments,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,es,Public sector entities,0.04,0.25,victim,negative
FINANCIAL_FRAUD,es,Intermediaries/third parties,0.04,0.25,other,neutral
FINANCIAL_FRAUD,es,entrepreneurs,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,intermediaries,0.04,0.25,other,neutral
FINANCIAL_FRAUD,es,middle-aged adults,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,es,Man,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,Middle-aged,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,es,Public officials (government workers),0.04,0.25,other,neutral
FINANCIAL_FRAUD,es,State and municipal authorities,0.04,0.25,other,neutral
FINANCIAL_FRAUD,es,Business sector (entrepreneurs),0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,es,Political actors,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,es,Financial investigation units,0.04,0.25,other,neutral
FINANCIAL_FRAUD,es,Judge,0.04,0.25,expert,neutral
FINANCIAL_FRAUD,es,Consultants,0.04,0.25,other,neutral
FINANCIAL_FRAUD,es,Government authorities,0.04,0.25,other,neutral
